Clothing ID,Review Sentiment,Title Sentiment,Review Polarity_Negative,Review Polarity_Positive,Title Polarity_Negative,Title Polarity_Positive,"(0, 20]","(20, 30]","(30, 40]","(40, 50]","(50, 60]","(60, 70]","(70, 80]","(80, 90]","(90, 150]",Rating_1,Rating_2,Rating_3,Rating_4,Rating_5,Total Ratings,Class Name_Blouses,Class Name_Casual bottoms,Class Name_Chemises,Class Name_Dresses,Class Name_Fine gauge,Class Name_Intimates,Class Name_Jackets,Class Name_Jeans,Class Name_Knits,Class Name_Layering,Class Name_Legwear,Class Name_Lounge,Class Name_Outerwear,Class Name_Pants,Class Name_Shorts,Class Name_Skirts,Class Name_Sleep,Class Name_Sweaters,Class Name_Swim,Class Name_Trend,Department Name_Bottoms,Department Name_Dresses,Department Name_Intimate,Department Name_Jackets,Department Name_Tops,Department Name_Trend,Division Name_General,Division Name_General Petite,Division Name_Initmates
1008 General,0.5135736264191665,0.6870138474873134,19,58.0,11,59.0,1,10,33,15,13,5,2,1,0,0,1,6,13,60,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1008 General Petite,0.5978398288337929,0.5594484620196845,21,82.0,21,72.0,0,24,34,29,12,7,0,0,0,6,2,11,20,67,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1009 General,0.491772186011076,0.5638582587242127,16,48.0,12,43.0,0,10,34,13,6,6,0,0,0,3,2,9,12,43,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1009 General Petite,0.5582282480440641,0.6371233542760213,4,15.0,3,12.0,0,3,8,6,3,0,0,0,0,0,1,2,5,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
101 Initmates,0.999393343925476,0.9983012080192566,0,1.0,0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1010 General,0.5999767065048218,-0.016494572162628174,1,4.0,1,1.0,0,2,0,0,2,0,1,0,0,0,0,3,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1010 General Petite,-0.9998277425765992,-0.5510217547416687,1,0.0,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1011 General,0.29391079089220834,0.453003819499697,6,11.0,4,10.0,0,1,7,2,5,3,0,0,0,1,2,1,4,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1011 General Petite,0.9989621937274933,0.999278336763382,0,2.0,0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1012 General,0.9998791217803956,0.998710036277771,0,1.0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1012 General Petite,-0.9888550639152528,0.9992687106132508,1,0.0,0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1013 General,-0.2558264583349228,0.1079430750438145,5,3.0,3,4.0,0,2,3,3,0,0,0,0,0,1,1,4,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1014 General Petite,0.9992114007472992,0.998442977666855,0,2.0,0,2.0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1015 General,0.9603820145130157,0.9989795923233032,0,6.0,0,5.0,0,1,2,4,1,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1015 General Petite,0.337075670560201,0.29498472809791565,2,4.0,2,4.0,0,1,2,1,1,1,0,0,0,0,0,3,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1016 General,-0.5747915671931373,-0.11300230688518947,14,4.0,10,8.0,0,0,4,11,1,2,0,0,0,3,4,2,6,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1016 General Petite,0.3214723666508993,0.6589771509170532,2,4.0,1,5.0,0,1,2,2,1,0,0,0,0,0,1,1,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1017 General,0.9999366998672484,0.9673644304275512,0,1.0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1018 General,0.4469968378543854,0.9411388238271078,1,3.0,0,3.0,0,1,1,1,1,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1019 General,0.1961939036846161,0.9991033673286438,1,1.0,0,1.0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
102 Initmates,,,0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1020 General,0.3441638601160495,0.5554752466471299,35,72.0,20,72.0,0,14,32,28,21,12,1,0,0,2,4,12,26,64,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1020 General Petite,0.2381094801425934,0.5193743444070583,19,31.0,10,31.0,0,4,21,14,6,3,2,0,0,3,2,8,12,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1021 General,0.07787154729549697,0.28334660963578656,6,7.0,4,7.0,1,1,4,4,0,3,0,0,0,2,0,2,3,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
1022 General,0.5507657458615858,0.5278811082243919,39,133.0,36,116.0,0,27,63,54,33,2,0,0,0,5,9,13,27,125,179,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1022 General Petite,0.5517357587814331,0.5900903522968293,5,18.0,4,16.0,0,4,8,6,7,1,0,0,0,2,0,1,4,19,26,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1023 General,-0.9999958276748656,0.8202165961265564,1,0.0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1024 General,0.43089870675917596,0.5851438854421888,9,22.0,6,22.0,0,3,11,5,10,6,0,0,0,0,1,2,5,27,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1025 General,0.4415760593241956,0.6172260259514424,23,60.0,13,54.0,0,9,34,22,12,9,2,0,1,1,2,8,17,61,89,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1025 General Petite,0.43702560663223267,0.5366356589577415,10,26.0,8,25.0,0,6,15,7,6,2,0,0,0,1,2,3,8,22,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1026 General,0.7776727146572537,0.6647442579269409,1,8.0,1,5.0,0,0,3,3,4,0,0,0,0,0,0,0,1,9,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1026 General Petite,0.8254484317519448,0.7945914626121521,1,10.0,1,9.0,0,1,6,2,1,1,0,0,0,0,0,0,3,8,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1027 General,0.09671256244182591,0.1374223464065128,9,11.0,8,10.0,1,4,5,6,3,1,0,0,0,0,0,4,2,14,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1028 General,0.3161962540423284,0.4657942365717005,21,40.0,14,40.0,0,2,24,22,8,4,0,0,1,1,2,10,14,34,61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1028 General Petite,0.6109202921390533,0.43860550137127147,4,16.0,5,12.0,0,2,5,5,6,3,0,0,1,0,1,2,1,18,22,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1029 General Petite,,,0,0.0,0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
103 Initmates,-0.5610631108283997,-0.6802771687507629,1,0.0,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1030 General,0.2383761319561281,0.376381343704159,26,43.0,18,41.0,0,10,18,26,11,7,0,0,0,1,9,8,15,39,72,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1031 General,-0.10476246807310316,-0.4560179337859153,5,4.0,6,2.0,0,1,4,2,1,1,0,0,0,0,1,1,4,3,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1032 General,-0.9965329170227052,,1,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1033 General,0.44779693538492377,0.5176523246548392,27,72.0,21,67.0,0,10,33,26,26,9,0,0,0,3,3,15,21,62,104,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1033 General Petite,0.42929451391760226,0.6022543807824453,32,81.0,20,82.0,1,16,39,29,19,11,1,0,0,0,3,8,29,76,116,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1034 General Petite,0.49966973066329956,0.401560440659523,1,3.0,1,3.0,0,1,0,0,1,2,0,0,0,0,1,0,0,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1035 General,0.3913543336633323,0.5593526696754714,21,48.0,13,46.0,0,6,28,21,11,4,0,0,0,2,4,7,14,43,70,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1035 General Petite,0.28579349839498125,0.4777761601975986,22,41.0,15,41.0,0,8,25,16,14,2,0,0,0,4,4,7,10,40,65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1036 General,0.5575334046568189,0.401731931246244,3,11.0,4,9.0,0,0,6,3,2,2,1,0,0,0,1,1,4,8,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1036 General Petite,0.9971116632223129,0.9992186576128006,0,4.0,0,4.0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1037 General,0.3502914309501648,0.4123042235007653,23,47.0,19,46.0,0,11,27,18,11,6,0,0,0,5,5,9,10,44,73,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1037 General Petite,0.2821966427745241,0.6760779665066645,12,21.0,4,22.0,1,3,14,9,3,3,0,0,0,0,2,2,13,16,33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1038 General,0.553254763285319,0.7219600954226085,7,26.0,4,24.0,0,1,7,18,8,0,0,0,0,0,0,3,5,26,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1038 General Petite,0.41615383064045625,0.5872730687260628,10,24.0,6,26.0,0,5,9,11,10,0,0,0,0,2,2,6,7,18,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1039 General,-0.5630172623528374,-0.1935269492013114,7,2.0,4,3.0,0,2,4,2,0,1,0,0,0,2,2,2,1,2,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
104 Initmates,-0.9998924732208252,-0.9999829530715942,1,0.0,1,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1040 General,0.9997808337211608,0.9996837377548218,0,1.0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1041 General,-0.9994386732578278,0.9002066254615784,2,0.0,0,2.0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1042 General,0.4632529980606503,0.7962120970090231,5,13.0,2,16.0,0,3,11,3,1,2,0,0,0,0,1,2,4,13,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1042 General Petite,-0.3335180679957072,0.33320150772730506,2,1.0,1,2.0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1043 General,0.9995997548103333,0.9926165938377379,0,1.0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1044 General,0.26243147410844503,0.5171042470371022,14,24.0,8,26.0,0,2,11,17,5,1,2,0,0,1,4,5,8,20,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1044 General Petite,0.0015191435813903809,0.28051102161407465,2,2.0,1,2.0,0,0,2,1,1,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1045 General,0.14098961864198958,-0.19996970891952515,3,4.0,3,2.0,0,0,3,3,1,0,0,0,0,1,2,0,1,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1046 General,0.08483585539986105,0.4283056727477482,8,9.0,4,10.0,0,2,6,6,0,3,0,0,0,1,2,4,4,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1046 General Petite,-0.14289584330150057,0.32933102051417035,4,3.0,2,4.0,0,0,0,4,2,1,0,0,0,0,2,0,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1047 General,0.5095867026935924,0.6838104266386765,8,25.0,4,22.0,1,2,14,5,3,8,0,0,0,0,1,3,5,24,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1047 General Petite,0.28994069820226626,0.5045017651149205,15,28.0,8,27.0,0,5,16,6,12,5,0,0,0,1,2,8,7,26,44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1048 General Petite,0.4223836239646463,0.4922940693795681,5,12.0,4,12.0,0,3,2,10,0,1,1,0,0,1,0,0,4,12,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1049 General,0.5721407270431519,0.6135236903240806,5,20.0,4,15.0,1,0,13,6,4,2,0,0,0,0,2,3,5,16,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1049 General Petite,0.33300237854321796,0.33235618472099304,2,4.0,2,4.0,0,0,3,2,1,0,0,0,0,0,0,2,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
105 Initmates,0.9999372959136964,0.997606873512268,0,1.0,0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1050 General,0.5549679729673598,0.42569857835769653,2,7.0,2,5.0,0,1,5,1,1,1,1,0,0,0,0,2,5,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1050 General Petite,0.6082194447517395,0.7109474986791611,2,7.0,1,7.0,0,2,2,0,0,4,1,0,0,0,0,1,2,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1051 General,0.3939570529120309,0.6875250935554504,4,10.0,2,12.0,1,0,3,5,2,3,0,0,0,0,0,1,5,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1051 General Petite,0.23075915937838348,0.5800771415233612,9,14.0,4,16.0,0,3,10,2,5,3,0,0,0,0,1,3,6,13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1052 General,0.6708243395152845,0.5141806043684483,3,16.0,4,12.0,0,2,8,5,1,2,1,0,0,0,0,1,5,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1052 General Petite,-0.3074125787791084,-0.015908773456300977,11,6.0,7,7.0,0,1,7,8,2,0,0,0,0,0,5,3,4,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1053 General,-0.11055818080902098,-0.022138771803482695,14,11.0,12,11.0,0,0,16,6,5,1,0,0,0,1,2,5,7,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1053 General Petite,0.4881385912497838,0.45593638853593305,3,9.0,3,8.0,0,3,3,2,1,4,0,0,0,1,0,2,1,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1054 General,0.17317334947914914,0.41599144697189333,12,17.0,7,18.0,0,10,11,7,3,2,0,0,0,1,3,6,4,19,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1055 General,3.845492998757102e-05,-0.00023518006006876627,3,3.0,3,3.0,0,1,2,0,1,1,1,0,0,1,1,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1055 General Petite,-0.2956724928485023,0.12940427660942078,12,6.0,5,7.0,0,5,8,1,3,2,0,0,0,3,3,2,7,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1056 General,0.3577583577796703,0.453882940304585,42,89.0,32,85.0,2,13,39,40,29,8,4,0,0,9,6,16,23,81,135,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1056 General Petite,0.5971557704607645,0.6843935336385455,15,60.0,10,53.0,0,11,15,27,17,7,1,0,0,2,1,8,12,55,78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1057 General Petite,-6.306171417241879e-05,0.1341544687747956,1,1.0,1,1.0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1058 General,-0.9856758117675781,-0.9978677034378052,2,0.0,2,0.0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1059 General,0.3347056066117636,0.4965534482683454,68,137.0,44,131.0,1,20,71,56,37,19,6,1,0,7,17,19,44,124,211,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1059 General Petite,0.4862082186268597,0.5619915516840087,21,61.0,16,56.0,0,10,25,16,21,9,2,0,0,1,5,8,12,57,83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
106 Initmates,-0.9999449253082277,-0.9998375177383424,1,0.0,1,0.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
1060 General,0.5096037884553274,0.6593780904202848,10,32.0,6,31.0,0,5,15,11,9,2,0,0,0,1,0,8,10,23,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1060 General Petite,0.33447819038973015,0.46036394888704474,20,39.0,12,32.0,0,12,19,10,12,6,0,2,0,2,1,11,11,36,61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1061 General,0.31036320130030315,0.5330901571682521,5,10.0,3,11.0,1,5,3,2,4,0,0,0,0,0,2,1,5,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
