Course Code,Course Objectives
MTRX1705,"
At the completion of this unit, you should be able to:

LO1. analyse and design combinational and sequential logic circuits from basic logic elements
LO2. analyse and design applications circuits based on operational amplifiers
LO3. read and understand manufacturers' data sheets describing digital and analog electronic circuit elements and DC motors
LO4. breadboard, test and troubleshoot practical digital and analog circuits in the laboratory using standard electronics lab instruments and tools.

"
MTRX2700,"
At the completion of this unit, you should be able to:

LO1. Function effectively as an individual even within the context of teamwork, whilst being able to clearly maintain the group objective
LO2. Understand and demonstrate various forms of communication including; listening, oral, written electronic, graphical and mathematical, both for assessment purposes and for interpersonal communication
LO3. Understand the use of mechatronics systems in a variety of applications
LO4. Exercise critical decision making in defining solutions to the problems presented in the laboratory sessions and in the exam
LO5. Think creatively about problem solving, and the application of ‘engineering judgment’ in order to choose the most appropriate solution to a problem from many possibilities
LO6. Independently identify, locate and utilize appropriate information resources in order to aid the problem solving process
LO7. Apply the knowledge gained in this course (as well as in other relevant prior courses) to solve real-world engineering problems involving hardware, software and microcontrollers.

"
MTRX2700,"
At the completion of this unit, you should be able to:

LO1. Function effectively as an individual even within the context of teamwork, whilst being able to clearly maintain the group objective
LO2. Understand and demonstrate various forms of communication including; listening, oral, written electronic, graphical and mathematical, both for assessment purposes and for interpersonal communication
LO3. Understand the use of mechatronics systems in a variety of applications
LO4. Exercise critical decision making in defining solutions to the problems presented in the laboratory sessions and in the exam
LO5. Think creatively about problem solving, and the application of ‘engineering judgment’ in order to choose the most appropriate solution to a problem from many possibilities
LO6. Independently identify, locate and utilize appropriate information resources in order to aid the problem solving process
LO7. Apply the knowledge gained in this course (as well as in other relevant prior courses) to solve real-world engineering problems involving hardware, software and microcontrollers.

"
MTRX2700,"
At the completion of this unit, you should be able to:

LO1. Function effectively as an individual even within the context of teamwork, whilst being able to clearly maintain the group objective
LO2. Understand and demonstrate various forms of communication including; listening, oral, written electronic, graphical and mathematical, both for assessment purposes and for interpersonal communication
LO3. Understand the use of mechatronics systems in a variety of applications
LO4. Exercise critical decision making in defining solutions to the problems presented in the laboratory sessions and in the exam
LO5. Think creatively about problem solving, and the application of ‘engineering judgment’ in order to choose the most appropriate solution to a problem from many possibilities
LO6. Independently identify, locate and utilize appropriate information resources in order to aid the problem solving process
LO7. Apply the knowledge gained in this course (as well as in other relevant prior courses) to solve real-world engineering problems involving hardware, software and microcontrollers.

"
MTRX3700,"
At the completion of this unit, you should be able to:

LO1. Understand and plan for the process of incremental implementation, recognising the importance of project management, teamwork, software/hardware co-design, and iterative development by members of a development team.
LO2. Find electronic components suitable for a particular purpose, and to locate and understanding manufacturers` datasheets.
LO3. Design and prototype the hardware and software comprising a microcontroller-based system.
LO4. Reason logically about microcontroller system behaviour to isolate faults, and to use modern development systems and laboratory equipment to debug microcontroller software and hardware problems at the component level.
LO5. Understand in detail the software and hardware architecture of a modern microcontroller, including the relationship between assembly language, high-level language (C) and the hardware, the utilisation and interfacing of microcontroller hardware resources, and the design and development of software incorporating multiple interrupt-driven elements.
LO6. Understand microprocessor system organization, the organization of multiple and distributed processor systems, special purpose architectures (DSPs etc.) and their applications.
LO7. Demonstrate the ability to differentiate between CISC, RISC and DSP processors, understanding the reasons for their evolution and adoption in specific designs.
LO8. Understand and select appropriately between various alternatives for data communications within a mechatronic system.

"
MTRX3700,"
At the completion of this unit, you should be able to:

LO1. Understand and plan for the process of incremental implementation, recognising the importance of project management, teamwork, software/hardware co-design, and iterative development by members of a development team.
LO2. Find electronic components suitable for a particular purpose, and to locate and understanding manufacturers` datasheets.
LO3. Design and prototype the hardware and software comprising a microcontroller-based system.
LO4. Reason logically about microcontroller system behaviour to isolate faults, and to use modern development systems and laboratory equipment to debug microcontroller software and hardware problems at the component level.
LO5. Understand in detail the software and hardware architecture of a modern microcontroller, including the relationship between assembly language, high-level language (C) and the hardware, the utilisation and interfacing of microcontroller hardware resources, and the design and development of software incorporating multiple interrupt-driven elements.
LO6. Understand microprocessor system organization, the organization of multiple and distributed processor systems, special purpose architectures (DSPs etc.) and their applications.
LO7. Demonstrate the ability to differentiate between CISC, RISC and DSP processors, understanding the reasons for their evolution and adoption in specific designs.
LO8. Understand and select appropriately between various alternatives for data communications within a mechatronic system.

"
MTRX3700,"
At the completion of this unit, you should be able to:

LO1. Understand and plan for the process of incremental implementation, recognising the importance of project management, teamwork, software/hardware co-design, and iterative development by members of a development team.
LO2. Find electronic components suitable for a particular purpose, and to locate and understanding manufacturers` datasheets.
LO3. Design and prototype the hardware and software comprising a microcontroller-based system.
LO4. Reason logically about microcontroller system behaviour to isolate faults, and to use modern development systems and laboratory equipment to debug microcontroller software and hardware problems at the component level.
LO5. Understand in detail the software and hardware architecture of a modern microcontroller, including the relationship between assembly language, high-level language (C) and the hardware, the utilisation and interfacing of microcontroller hardware resources, and the design and development of software incorporating multiple interrupt-driven elements.
LO6. Understand microprocessor system organization, the organization of multiple and distributed processor systems, special purpose architectures (DSPs etc.) and their applications.
LO7. Demonstrate the ability to differentiate between CISC, RISC and DSP processors, understanding the reasons for their evolution and adoption in specific designs.
LO8. Understand and select appropriately between various alternatives for data communications within a mechatronic system.

"
MTRX3700,"
At the completion of this unit, you should be able to:

LO1. Understand and plan for the process of incremental implementation, recognising the importance of project management, teamwork, software/hardware co-design, and iterative development by members of a development team.
LO2. Find electronic components suitable for a particular purpose, and to locate and understanding manufacturers` datasheets.
LO3. Design and prototype the hardware and software comprising a microcontroller-based system.
LO4. Reason logically about microcontroller system behaviour to isolate faults, and to use modern development systems and laboratory equipment to debug microcontroller software and hardware problems at the component level.
LO5. Understand in detail the software and hardware architecture of a modern microcontroller, including the relationship between assembly language, high-level language (C) and the hardware, the utilisation and interfacing of microcontroller hardware resources, and the design and development of software incorporating multiple interrupt-driven elements.
LO6. Understand microprocessor system organization, the organization of multiple and distributed processor systems, special purpose architectures (DSPs etc.) and their applications.
LO7. Demonstrate the ability to differentiate between CISC, RISC and DSP processors, understanding the reasons for their evolution and adoption in specific designs.
LO8. Understand and select appropriately between various alternatives for data communications within a mechatronic system.

"
MTRX3700,"
At the completion of this unit, you should be able to:

LO1. Understand and plan for the process of incremental implementation, recognising the importance of project management, teamwork, software/hardware co-design, and iterative development by members of a development team.
LO2. Find electronic components suitable for a particular purpose, and to locate and understanding manufacturers` datasheets.
LO3. Design and prototype the hardware and software comprising a microcontroller-based system.
LO4. Reason logically about microcontroller system behaviour to isolate faults, and to use modern development systems and laboratory equipment to debug microcontroller software and hardware problems at the component level.
LO5. Understand in detail the software and hardware architecture of a modern microcontroller, including the relationship between assembly language, high-level language (C) and the hardware, the utilisation and interfacing of microcontroller hardware resources, and the design and development of software incorporating multiple interrupt-driven elements.
LO6. Understand microprocessor system organization, the organization of multiple and distributed processor systems, special purpose architectures (DSPs etc.) and their applications.
LO7. Demonstrate the ability to differentiate between CISC, RISC and DSP processors, understanding the reasons for their evolution and adoption in specific designs.
LO8. Understand and select appropriately between various alternatives for data communications within a mechatronic system.

"
MTRX3760,"
At the completion of this unit, you should be able to:

LO1. design, plan for and execute a significant software project in a team
LO2. design and implement object-oriented software in C++
LO3. partition a software design into classes and applications modules
LO4. document a software design using modelling tools
LO5. develop the capacity to think creatively and independently about new design problems
LO6. understand in detail the operating principals and interface of serially-attached sensors
LO7. demonstrate a detailed knowledge of fundamental aspects of a contemporary operating system, as they relate to the design of software to execute within the operating system.

"
MTRX3760,"
At the completion of this unit, you should be able to:

LO1. design, plan for and execute a significant software project in a team
LO2. design and implement object-oriented software in C++
LO3. partition a software design into classes and applications modules
LO4. document a software design using modelling tools
LO5. develop the capacity to think creatively and independently about new design problems
LO6. understand in detail the operating principals and interface of serially-attached sensors
LO7. demonstrate a detailed knowledge of fundamental aspects of a contemporary operating system, as they relate to the design of software to execute within the operating system.

"
MTRX5700,"
At the completion of this unit, you should be able to:

LO1. apply a systematic approach to the design process for robotic systems
LO2. examine advanced topics in robotics including obstacle avoidance, path planning, robot architectures, multi-robot systems and learning as applied to robotic systems
LO3. demonstrate familiarity with sensor technologies relevant to robotic systems, specifically working with laser and vision data and examining techniques for processing this data
LO4. implement navigation, sensing and control algorithms on a practical robotic system
LO5. understand conventions used in robot kinematics and dynamics
LO6. express ideas both orally and written on technical material
LO7. develop the capacity to think creatively and independently about new design problems
LO8. undertake independent research and analysis and to think creatively about engineering problems.

"
MTRX5700,"
At the completion of this unit, you should be able to:

LO1. apply a systematic approach to the design process for robotic systems
LO2. examine advanced topics in robotics including obstacle avoidance, path planning, robot architectures, multi-robot systems and learning as applied to robotic systems
LO3. demonstrate familiarity with sensor technologies relevant to robotic systems, specifically working with laser and vision data and examining techniques for processing this data
LO4. implement navigation, sensing and control algorithms on a practical robotic system
LO5. understand conventions used in robot kinematics and dynamics
LO6. express ideas both orally and written on technical material
LO7. develop the capacity to think creatively and independently about new design problems
LO8. undertake independent research and analysis and to think creatively about engineering problems.

"
MTRX5700,"
At the completion of this unit, you should be able to:

LO1. apply a systematic approach to the design process for robotic systems
LO2. examine advanced topics in robotics including obstacle avoidance, path planning, robot architectures, multi-robot systems and learning as applied to robotic systems
LO3. demonstrate familiarity with sensor technologies relevant to robotic systems, specifically working with laser and vision data and examining techniques for processing this data
LO4. implement navigation, sensing and control algorithms on a practical robotic system
LO5. understand conventions used in robot kinematics and dynamics
LO6. express ideas both orally and written on technical material
LO7. develop the capacity to think creatively and independently about new design problems
LO8. undertake independent research and analysis and to think creatively about engineering problems.

"
MTRX5700,"
At the completion of this unit, you should be able to:

LO1. apply a systematic approach to the design process for robotic systems
LO2. examine advanced topics in robotics including obstacle avoidance, path planning, robot architectures, multi-robot systems and learning as applied to robotic systems
LO3. demonstrate familiarity with sensor technologies relevant to robotic systems, specifically working with laser and vision data and examining techniques for processing this data
LO4. implement navigation, sensing and control algorithms on a practical robotic system
LO5. understand conventions used in robot kinematics and dynamics
LO6. express ideas both orally and written on technical material
LO7. develop the capacity to think creatively and independently about new design problems
LO8. undertake independent research and analysis and to think creatively about engineering problems.

"
AMME1802,"
At the completion of this unit, you should be able to:

LO1. Apply a logical approach for solving a complex engineering problem
LO2. Express forces and moments as vectors
LO3. Calculate the resultant force and moment for 2D and 3D systems
LO4. Draw a correct free body diagram for any engineering entity
LO5. Calculate the value of unknown forces and moments acting on any three dimensional object from the equilibrium equations
LO6. Calculate the force in an internal member of a simple structure
LO7. Calculate the forces acting as a result of two objects in contact
LO8. Find the centre of mass or centroid of an object
LO9. Calculate reaction forces under the action of distributed forces for different structures
LO10. Calculate the trajectory for a particle in space
LO11. Determine the forces acting on an object undergoing acceleration
LO12. Use momentum principles to determine the forces and motion of objects undergoing collisions
LO13. Use energy methods to determine the kinematics of a particle under conservative forces
LO14. Determine the friction force in dry contacts
LO15. Understand how friction force develops between flexible belts and ropes in contact with other surfaces

"
AMME1802,"
At the completion of this unit, you should be able to:

LO1. Apply a logical approach for solving a complex engineering problem
LO2. Express forces and moments as vectors
LO3. Calculate the resultant force and moment for 2D and 3D systems
LO4. Draw a correct free body diagram for any engineering entity
LO5. Calculate the value of unknown forces and moments acting on any three dimensional object from the equilibrium equations
LO6. Calculate the force in an internal member of a simple structure
LO7. Calculate the forces acting as a result of two objects in contact
LO8. Find the centre of mass or centroid of an object
LO9. Calculate reaction forces under the action of distributed forces for different structures
LO10. Calculate the trajectory for a particle in space
LO11. Determine the forces acting on an object undergoing acceleration
LO12. Use momentum principles to determine the forces and motion of objects undergoing collisions
LO13. Use energy methods to determine the kinematics of a particle under conservative forces
LO14. Determine the friction force in dry contacts
LO15. Understand how friction force develops between flexible belts and ropes in contact with other surfaces

"
AMME1802,"
At the completion of this unit, you should be able to:

LO1. Apply a logical approach for solving a complex engineering problem
LO2. Express forces and moments as vectors
LO3. Calculate the resultant force and moment for 2D and 3D systems
LO4. Draw a correct free body diagram for any engineering entity
LO5. Calculate the value of unknown forces and moments acting on any three dimensional object from the equilibrium equations
LO6. Calculate the force in an internal member of a simple structure
LO7. Calculate the forces acting as a result of two objects in contact
LO8. Find the centre of mass or centroid of an object
LO9. Calculate reaction forces under the action of distributed forces for different structures
LO10. Calculate the trajectory for a particle in space
LO11. Determine the forces acting on an object undergoing acceleration
LO12. Use momentum principles to determine the forces and motion of objects undergoing collisions
LO13. Use energy methods to determine the kinematics of a particle under conservative forces
LO14. Determine the friction force in dry contacts
LO15. Understand how friction force develops between flexible belts and ropes in contact with other surfaces

"
AMME2500,"
At the completion of this unit, you should be able to:

LO1. use basic information literacy skills to seek out existing approaches to the modelling and design of dynamic components of real engineering systems
LO2. communicate results in the analysis and solution to engineering problems involving dynamics through the logical presentation of problems solving steps, computer code and written reports
LO3. model and approximate real engineering scenarios to basic first-order systems of dynamical equations that can be analysed by the methods developed in the course
LO4. outline a logical approach to solving complex problems involving bodies undergoing acceleration based on common scenarios encountered in engineering
LO5. analyse problems involving varying coordinate systems, relative motion involving both translating and rotating frames of reference and apply principles of kinematics and kinetics to these systems
LO6. apply the principle of work and energy to both systems of particles and rigid-body planar kinetics
LO7. apply the principles of impulse, linear and angular momentum to both systems of particles and rigid-body planar kinetics
LO8. generate equations of motions for multi-degree of freedom systems involving particles and rigid bodies using free body diagrams and principles of kinetics
LO9. determine the equations of motion of free and forced vibrating mechanical systems
LO10. use basic computational tools and numerical methods in MATLAB to model, simulate and solve dynamic behaviours of multi-body systems
LO11. appreciate and understand fundamental principles in differential and integral calculus, vector calculus and linear algebra and their application in the derivation of dynamical equations of motion
LO12. use mathematical tools to analytically derive dynamical equations of motion and calculate results using these tools.

"
AMME2500,"
At the completion of this unit, you should be able to:

LO1. use basic information literacy skills to seek out existing approaches to the modelling and design of dynamic components of real engineering systems
LO2. communicate results in the analysis and solution to engineering problems involving dynamics through the logical presentation of problems solving steps, computer code and written reports
LO3. model and approximate real engineering scenarios to basic first-order systems of dynamical equations that can be analysed by the methods developed in the course
LO4. outline a logical approach to solving complex problems involving bodies undergoing acceleration based on common scenarios encountered in engineering
LO5. analyse problems involving varying coordinate systems, relative motion involving both translating and rotating frames of reference and apply principles of kinematics and kinetics to these systems
LO6. apply the principle of work and energy to both systems of particles and rigid-body planar kinetics
LO7. apply the principles of impulse, linear and angular momentum to both systems of particles and rigid-body planar kinetics
LO8. generate equations of motions for multi-degree of freedom systems involving particles and rigid bodies using free body diagrams and principles of kinetics
LO9. determine the equations of motion of free and forced vibrating mechanical systems
LO10. use basic computational tools and numerical methods in MATLAB to model, simulate and solve dynamic behaviours of multi-body systems
LO11. appreciate and understand fundamental principles in differential and integral calculus, vector calculus and linear algebra and their application in the derivation of dynamical equations of motion
LO12. use mathematical tools to analytically derive dynamical equations of motion and calculate results using these tools.

"
AMME2500,"
At the completion of this unit, you should be able to:

LO1. use basic information literacy skills to seek out existing approaches to the modelling and design of dynamic components of real engineering systems
LO2. communicate results in the analysis and solution to engineering problems involving dynamics through the logical presentation of problems solving steps, computer code and written reports
LO3. model and approximate real engineering scenarios to basic first-order systems of dynamical equations that can be analysed by the methods developed in the course
LO4. outline a logical approach to solving complex problems involving bodies undergoing acceleration based on common scenarios encountered in engineering
LO5. analyse problems involving varying coordinate systems, relative motion involving both translating and rotating frames of reference and apply principles of kinematics and kinetics to these systems
LO6. apply the principle of work and energy to both systems of particles and rigid-body planar kinetics
LO7. apply the principles of impulse, linear and angular momentum to both systems of particles and rigid-body planar kinetics
LO8. generate equations of motions for multi-degree of freedom systems involving particles and rigid bodies using free body diagrams and principles of kinetics
LO9. determine the equations of motion of free and forced vibrating mechanical systems
LO10. use basic computational tools and numerical methods in MATLAB to model, simulate and solve dynamic behaviours of multi-body systems
LO11. appreciate and understand fundamental principles in differential and integral calculus, vector calculus and linear algebra and their application in the derivation of dynamical equations of motion
LO12. use mathematical tools to analytically derive dynamical equations of motion and calculate results using these tools.

"
AMME2500,"
At the completion of this unit, you should be able to:

LO1. use basic information literacy skills to seek out existing approaches to the modelling and design of dynamic components of real engineering systems
LO2. communicate results in the analysis and solution to engineering problems involving dynamics through the logical presentation of problems solving steps, computer code and written reports
LO3. model and approximate real engineering scenarios to basic first-order systems of dynamical equations that can be analysed by the methods developed in the course
LO4. outline a logical approach to solving complex problems involving bodies undergoing acceleration based on common scenarios encountered in engineering
LO5. analyse problems involving varying coordinate systems, relative motion involving both translating and rotating frames of reference and apply principles of kinematics and kinetics to these systems
LO6. apply the principle of work and energy to both systems of particles and rigid-body planar kinetics
LO7. apply the principles of impulse, linear and angular momentum to both systems of particles and rigid-body planar kinetics
LO8. generate equations of motions for multi-degree of freedom systems involving particles and rigid bodies using free body diagrams and principles of kinetics
LO9. determine the equations of motion of free and forced vibrating mechanical systems
LO10. use basic computational tools and numerical methods in MATLAB to model, simulate and solve dynamic behaviours of multi-body systems
LO11. appreciate and understand fundamental principles in differential and integral calculus, vector calculus and linear algebra and their application in the derivation of dynamical equations of motion
LO12. use mathematical tools to analytically derive dynamical equations of motion and calculate results using these tools.

"
AMME2500,"
At the completion of this unit, you should be able to:

LO1. use basic information literacy skills to seek out existing approaches to the modelling and design of dynamic components of real engineering systems
LO2. communicate results in the analysis and solution to engineering problems involving dynamics through the logical presentation of problems solving steps, computer code and written reports
LO3. model and approximate real engineering scenarios to basic first-order systems of dynamical equations that can be analysed by the methods developed in the course
LO4. outline a logical approach to solving complex problems involving bodies undergoing acceleration based on common scenarios encountered in engineering
LO5. analyse problems involving varying coordinate systems, relative motion involving both translating and rotating frames of reference and apply principles of kinematics and kinetics to these systems
LO6. apply the principle of work and energy to both systems of particles and rigid-body planar kinetics
LO7. apply the principles of impulse, linear and angular momentum to both systems of particles and rigid-body planar kinetics
LO8. generate equations of motions for multi-degree of freedom systems involving particles and rigid bodies using free body diagrams and principles of kinetics
LO9. determine the equations of motion of free and forced vibrating mechanical systems
LO10. use basic computational tools and numerical methods in MATLAB to model, simulate and solve dynamic behaviours of multi-body systems
LO11. appreciate and understand fundamental principles in differential and integral calculus, vector calculus and linear algebra and their application in the derivation of dynamical equations of motion
LO12. use mathematical tools to analytically derive dynamical equations of motion and calculate results using these tools.

"
AMME2301,"
At the completion of this unit, you should be able to:

LO1. work and communicate with others in the tutorial sessions
LO2. understand the fundamental principles of elementary solid mechanics and basic methods for stress and deformation analysis of a simple solid structure or element
LO3. analyse problems in terms of strength and deformation in relation to the design, manufacturing and maintenance of simple solid structures
LO4. demonstrate an understanding of the applicability of simple stress analysis methods
LO5. demonstrate an understanding of when and why to do deformation analysis
LO6. model structures composed of bars and beams
LO7. apply boundary conditions for simple structural problems
LO8. demonstrate an understanding of how and why to use energy methods for structural analysis
LO9. perform fundamental buckling analysis

"
AMME2301,"
At the completion of this unit, you should be able to:

LO1. work and communicate with others in the tutorial sessions
LO2. understand the fundamental principles of elementary solid mechanics and basic methods for stress and deformation analysis of a simple solid structure or element
LO3. analyse problems in terms of strength and deformation in relation to the design, manufacturing and maintenance of simple solid structures
LO4. demonstrate an understanding of the applicability of simple stress analysis methods
LO5. demonstrate an understanding of when and why to do deformation analysis
LO6. model structures composed of bars and beams
LO7. apply boundary conditions for simple structural problems
LO8. demonstrate an understanding of how and why to use energy methods for structural analysis
LO9. perform fundamental buckling analysis

"
AMME2301,"
At the completion of this unit, you should be able to:

LO1. work and communicate with others in the tutorial sessions
LO2. understand the fundamental principles of elementary solid mechanics and basic methods for stress and deformation analysis of a simple solid structure or element
LO3. analyse problems in terms of strength and deformation in relation to the design, manufacturing and maintenance of simple solid structures
LO4. demonstrate an understanding of the applicability of simple stress analysis methods
LO5. demonstrate an understanding of when and why to do deformation analysis
LO6. model structures composed of bars and beams
LO7. apply boundary conditions for simple structural problems
LO8. demonstrate an understanding of how and why to use energy methods for structural analysis
LO9. perform fundamental buckling analysis

"
AMME2301,"
At the completion of this unit, you should be able to:

LO1. work and communicate with others in the tutorial sessions
LO2. understand the fundamental principles of elementary solid mechanics and basic methods for stress and deformation analysis of a simple solid structure or element
LO3. analyse problems in terms of strength and deformation in relation to the design, manufacturing and maintenance of simple solid structures
LO4. demonstrate an understanding of the applicability of simple stress analysis methods
LO5. demonstrate an understanding of when and why to do deformation analysis
LO6. model structures composed of bars and beams
LO7. apply boundary conditions for simple structural problems
LO8. demonstrate an understanding of how and why to use energy methods for structural analysis
LO9. perform fundamental buckling analysis

"
AMME2301,"
At the completion of this unit, you should be able to:

LO1. work and communicate with others in the tutorial sessions
LO2. understand the fundamental principles of elementary solid mechanics and basic methods for stress and deformation analysis of a simple solid structure or element
LO3. analyse problems in terms of strength and deformation in relation to the design, manufacturing and maintenance of simple solid structures
LO4. demonstrate an understanding of the applicability of simple stress analysis methods
LO5. demonstrate an understanding of when and why to do deformation analysis
LO6. model structures composed of bars and beams
LO7. apply boundary conditions for simple structural problems
LO8. demonstrate an understanding of how and why to use energy methods for structural analysis
LO9. perform fundamental buckling analysis

"
AMME3500,"
At the completion of this unit, you should be able to:

LO1. mathematically model mechanical and other systems and determine their response characteristics based on the physical properties of the system and Laplace transform methods
LO2. understand how desired specifications of a mechanical system such as stability, overshoot, rise time, the time constant of a system, natural frequency and damping ratio can be represented mathematically and how they depend on system parameters
LO3. demonstrate an ability to design controllers and meet specifications using tools such as Root Locus, Bode Plots, and State Space. Understand the relative strengths and weaknesses of each technique
LO4. understand the role of feedback in providing robustness to modelling uncertainty and external disturbances
LO5. analyse and design control loops using Matlab and Simulink software tools.

"
AMME3500,"
At the completion of this unit, you should be able to:

LO1. mathematically model mechanical and other systems and determine their response characteristics based on the physical properties of the system and Laplace transform methods
LO2. understand how desired specifications of a mechanical system such as stability, overshoot, rise time, the time constant of a system, natural frequency and damping ratio can be represented mathematically and how they depend on system parameters
LO3. demonstrate an ability to design controllers and meet specifications using tools such as Root Locus, Bode Plots, and State Space. Understand the relative strengths and weaknesses of each technique
LO4. understand the role of feedback in providing robustness to modelling uncertainty and external disturbances
LO5. analyse and design control loops using Matlab and Simulink software tools.

"
AMME3500,"
At the completion of this unit, you should be able to:

LO1. mathematically model mechanical and other systems and determine their response characteristics based on the physical properties of the system and Laplace transform methods
LO2. understand how desired specifications of a mechanical system such as stability, overshoot, rise time, the time constant of a system, natural frequency and damping ratio can be represented mathematically and how they depend on system parameters
LO3. demonstrate an ability to design controllers and meet specifications using tools such as Root Locus, Bode Plots, and State Space. Understand the relative strengths and weaknesses of each technique
LO4. understand the role of feedback in providing robustness to modelling uncertainty and external disturbances
LO5. analyse and design control loops using Matlab and Simulink software tools.

"
AMME3500,"
At the completion of this unit, you should be able to:

LO1. mathematically model mechanical and other systems and determine their response characteristics based on the physical properties of the system and Laplace transform methods
LO2. understand how desired specifications of a mechanical system such as stability, overshoot, rise time, the time constant of a system, natural frequency and damping ratio can be represented mathematically and how they depend on system parameters
LO3. demonstrate an ability to design controllers and meet specifications using tools such as Root Locus, Bode Plots, and State Space. Understand the relative strengths and weaknesses of each technique
LO4. understand the role of feedback in providing robustness to modelling uncertainty and external disturbances
LO5. analyse and design control loops using Matlab and Simulink software tools.

"
