Name,Form,Temper,Temper Code,Tensile Strength,Thermal ConductivityBtu/ sq ft/ ft hr/ °F at 68°F,Cu(1.2.3,Pb,Zn,Fe,P,Ag,As,O,Sb,Te,Ni,Bi,Cd,sn,S,Mn,Zr,Mg,Co,Al,Be,Cr,Si,Ti,Ca,Li,B,C,Nb,Se
C10100 Oxygen-Free-Electronic,Flat Products,Noal Grain Size 0.050 mm,OS050,32,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10100 Oxygen-Free-Electronic,Flat Products,Spring,H08,55,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10100 Oxygen-Free-Electronic,Rod,As Hot Rolled,M20,32,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10100 Oxygen-Free-Electronic,Rod,Hard,H04,55,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10100 Oxygen-Free-Electronic,Rod,Hard,H04,45,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10100 Oxygen-Free-Electronic,Rod,Hard,H04,48,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10100 Oxygen-Free-Electronic,Rod,Noal Grain Size 0.050 mm,OS050,32,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10100 Oxygen-Free-Electronic,Shapes,As Hot Extruded,M30,32,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10100 Oxygen-Free-Electronic,Shapes,As Hot Rolled,M20,32,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10100 Oxygen-Free-Electronic,Shapes,Hard,H04,40,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10100 Oxygen-Free-Electronic,Shapes,Noal Grain Size 0.050 mm,OS050,32,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10100 Oxygen-Free-Electronic,Tube,Hard Drawn,H80,55,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10100 Oxygen-Free-Electronic,Tube,"Light Drawn, Light Cold Rolled",H55,40,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10100 Oxygen-Free-Electronic,Tube,Noal Grain Size 0.025 mm,OS025,34,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10100 Oxygen-Free-Electronic,Tube,Noal Grain Size 0.050 mm,OS050,32,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10100 Oxygen-Free-Electronic,Wire,Hard,H04,55,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10100 Oxygen-Free-Electronic,Wire,Noal Grain Size 0.050 mm,OS050,35,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10100 Oxygen-Free-Electronic,Wire,Spring,H08,66,226,99.99,0.0005,0.0001,0.001,0.0003,0.0025,0.0005,0.0005,0.0004,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Flat Products,1/2 Hard,H02,42,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Flat Products,1/4 Hard,H01,38,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Flat Products,1/4 Hard,H01,38,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Flat Products,1/8 Hard,H00,36,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Flat Products,1/8 Hard,H00,36,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Flat Products,As Hot Rolled,M20,34,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Flat Products,As Hot Rolled,M20,32,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Flat Products,Extra Spring,H10,57,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Flat Products,Hard,H04,50,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Flat Products,Hard,H04,50,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Flat Products,Hard,H04,45,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Flat Products,Noal Grain Size 0.025 mm,OS025,34,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Flat Products,Noal Grain Size 0.050 mm,OS050,32,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Flat Products,Noal Grain Size 0.050 mm,OS050,32,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Flat Products,Spring,H08,55,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Rod,As Hot Rolled,M20,32,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Rod,Hard,H04,55,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Rod,Hard,H04,48,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Rod,Hard,H04,45,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Rod,Noal Grain Size 0.050 mm,OS050,32,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Shapes,As Hot Extruded,M30,32,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Shapes,As Hot Rolled,M20,32,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Shapes,Hard,H04,40,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Shapes,Noal Grain Size 0.050 mm,OS050,32,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Tube,Hard Drawn,H80,55,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Tube,"Light Drawn, Light Cold Rolled",H55,40,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Tube,Noal Grain Size 0.025 mm,OS025,34,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Tube,Noal Grain Size 0.050 mm,OS050,32,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Wire,Hard,H04,55,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Wire,Noal Grain Size 0.050 mm,OS050,35,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10200 Oxygen-Free,Wire,Spring,H08,66,226,99.95,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10300       Oxygen-Free Copper,Flat Products,1/2 Hard,H02,42  ,223,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10300       Oxygen-Free Copper,Flat Products,1/4 Hard,H01,38,223,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10300       Oxygen-Free Copper,Flat Products,1/8 Hard,H00,36,223,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10300       Oxygen-Free Copper,Flat Products,1/8 Hard,H00,36,223,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10300       Oxygen-Free Copper,Flat Products,As Hot Rolled,M20,32,223,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10300       Oxygen-Free Copper,Flat Products,Hard,H04,45,223,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10300       Oxygen-Free Copper,Flat Products,Hard,H04,50,223,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10300       Oxygen-Free Copper,Flat Products,Hard,H04,50,223,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10300       Oxygen-Free Copper,Flat Products,Hard,H04,45,223,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10300       Oxygen-Free Copper,Flat Products,Noal Grain Size 0.025 mm,OS025,43,223,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10300       Oxygen-Free Copper,Flat Products,Noal Grain Size 0.050 mm,OS050,32,223,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10300       Oxygen-Free Copper,Flat Products,Noal Grain Size 0.050 mm,OS050,32,223,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10300       Oxygen-Free Copper,Pipe,Hard,H04,50,223,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10300       Oxygen-Free Copper,Rod,Hard,H04,48,223,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10300       Oxygen-Free Copper,Rod,Hard,H04,55,223,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10300       Oxygen-Free Copper,Rod,Hard,H04,45,223,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10300       Oxygen-Free Copper,Shapes,Hard,H04,40,223,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10300       Oxygen-Free Copper,Shapes,Noal Grain Size 0.050 mm,OS050,32,223,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10300       Oxygen-Free Copper,Tube,Hard Drawn,H80,55,223,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10300       Oxygen-Free Copper,Tube,Hard Drawn,H80,55,223,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10300       Oxygen-Free Copper,Tube,"Light Drawn, Light Cold Rolled",H55,40,223,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10300       Oxygen-Free Copper,Tube,Noal Grain Size 0.025 mm,OS025,34,223,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10300       Oxygen-Free Copper,Tube,Noal Grain Size 0.050 mm,OS050,32,223,99.95,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Flat Products,1/2 Hard,H02,42,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Flat Products,1/4 Hard,H01,38,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Flat Products,1/4 Hard,H01,38,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Flat Products,1/8 Hard,H00,36,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Flat Products,1/8 Hard,H00,36,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Flat Products,As Hot Rolled,M20,34,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Flat Products,As Hot Rolled,M20,32,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Flat Products,Extra Spring,H10,57,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Flat Products,Hard,H04,50,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Flat Products,Hard,H04,45,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Flat Products,Hard,H04,50,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Flat Products,Noal Grain Size 0.025 mm,OS025,34,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Flat Products,Noal Grain Size 0.050 mm,OS050,32,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Flat Products,Spring,H08,55,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Rod,As Hot Rolled,M20,32,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Rod,Hard,H04,55,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Rod,Hard,H04,48,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Rod,Hard,H04,45,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Rod,Noal Grain Size 0.050 mm,OS050,32,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Shapes,As Hot Extruded,M30,32,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Shapes,As Hot Rolled,M20,32,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Shapes,Hard,H04,40,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Shapes,Noal Grain Size 0.050 mm,OS050,32,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Tube,Hard Drawn,H80,55,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Tube,"Light Drawn, Light Cold Rolled",H55,40,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Tube,Noal Grain Size 0.025 mm,OS025,34,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Tube,Noal Grain Size 0.050 mm,OS050,32,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Wire,Hard,H04,55,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Wire,Noal Grain Size 0.050 mm,OS050,35,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10400    Oxygen-Free with Ag,Wire,Spring,H08,66,224,99.95,0,0,0,0,0.027,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10500 Oxygen-Free with Ag,Flat products,1/2 Hard,H02,42  ,224,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10500 Oxygen-Free with Ag,Flat products,1/4 Hard,H01,38  ,224,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10500 Oxygen-Free with Ag,Flat products,1/4 Hard,H01,38  ,224,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10500 Oxygen-Free with Ag,Flat products,1/8 Hard,H00,36  ,224,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10500 Oxygen-Free with Ag,Flat products,1/8 Hard,H00,36  ,224,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10500 Oxygen-Free with Ag,Flat products,As Hot Rolled,M20,34  ,224,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10500 Oxygen-Free with Ag,Flat products,As Hot Rolled,M20,32  ,224,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10500 Oxygen-Free with Ag,Flat products,Extra Spring,H10,57  ,224,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10500 Oxygen-Free with Ag,Flat products,Hard,H04,50  ,224,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10500 Oxygen-Free with Ag,Flat products,Hard,H04,45  ,224,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10500 Oxygen-Free with Ag,Flat products,Hard,H04,50  ,224,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10500 Oxygen-Free with Ag,Flat products,Noal Grain Size 0.025 mm,OS025,34  ,224,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10500 Oxygen-Free with Ag,Flat products,Noal Grain Size 0.050 mm,OS050,32  ,224,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10500 Oxygen-Free with Ag,Flat products,Spring,H08,55  ,224,99.95,0,0,0,0,0.034,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
